year,hires,terminations,net_change,change_percent
2000,220,31,189,14.1
2001,1122,203,919,18.1
2002,1067,174,893,16.3
2003,1142,199,943,17.4
2004,1135,202,933,17.8
2005,1097,182,915,16.6
2006,1118,183,935,16.4
2007,1090,150,940,13.8
2008,1108,144,964,13.0
2009,1140,155,985,13.6
2010,1099,130,969,11.8
2011,1101,114,987,10.4
2012,1103,110,993,10.0
2013,1105,97,1008,8.8
2014,1053,92,961,8.7
2015,1059,79,980,7.5
2016,1122,69,1053,6.1
2017,1091,57,1034,5.2
2018,1147,51,1096,4.4
2019,1083,52,1031,4.8
2020,1012,28,984,2.8
